Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
103,0.008196862048096666,0.9975,1.0,0.646,0.465,0.679,0.583,0.597,0.7005
104,0.008635054228206172,0.9970625,1.0,0.6905,0.542,0.6255,0.6115,0.5585,0.7
105,0.008914507468475222,0.9968958333333333,1.0,0.707,0.507,0.6025,0.556,0.583,0.712
106,0.010207526391426655,0.9966041666666666,1.0,0.651,0.5185,0.6945,0.5495,0.542,0.713
107,0.006755442453755374,0.9976041666666666,1.0,0.5835,0.5085,0.6615,0.634,0.5845,0.641
108,0.008956890032599252,0.9968333333333333,1.0,0.684,0.5095,0.6805,0.642,0.5,0.5685
109,0.009368492006672568,0.9969375,1.0,0.703,0.5235,0.6825,0.611,0.5735,0.6195
110,0.009134956702425218,0.9970208333333334,1.0,0.696,0.5045,0.647,0.597,0.548,0.6445
111,0.008351723403655038,0.99725,1.0,0.7005,0.5105,0.615,0.6345,0.537,0.694
112,0.007217692384378552,0.9975,1.0,0.6475,0.483,0.6555,0.5755,0.6135,0.685
113,0.0070524153889339235,0.998,1.0,0.7315,0.651,0.5345,0.5045,0.5635,0.6625
114,0.008767312305799123,0.9972291666666667,1.0,0.709,0.533,0.6275,0.5845,0.555,0.666
115,0.007033678084918089,0.99725,1.0,0.6345,0.483,0.6515,0.585,0.5625,0.74
116,0.009727018130491236,0.9967708333333334,1.0,0.636,0.4865,0.64,0.6355,0.5605,0.709
117,0.006185017226209159,0.9981041666666667,1.0,0.6965,0.573,0.676,0.513,0.526,0.665
118,0.008762623825406839,0.9969166666666667,1.0,0.651,0.5455,0.618,0.621,0.556,0.6845
119,0.008362948942195848,0.9972291666666667,1.0,0.7035,0.52,0.6785,0.5845,0.5585,0.6615
120,0.007731773916510519,0.9973333333333333,1.0,0.663,0.5235,0.614,0.6105,0.5825,0.692
121,0.0058708666169102345,0.9980833333333333,1.0,0.6665,0.4845,0.697,0.589,0.58,0.6995
122,0.00820651066232358,0.9971875,1.0,0.658,0.5405,0.625,0.5835,0.592,0.659
123,0.0067306261650061285,0.9976041666666666,1.0,0.6775,0.5485,0.651,0.6205,0.5525,0.63
124,0.009706112154831923,0.9970625,1.0,0.6665,0.5665,0.6775,0.5735,0.5335,0.658
125,0.0077256221551032615,0.9973125,1.0,0.6575,0.4985,0.6895,0.564,0.591,0.704
126,0.0073821842397868145,0.9975208333333333,1.0,0.6715,0.468,0.656,0.5625,0.571,0.722
127,0.006280898279079186,0.9978333333333333,1.0,0.6045,0.568,0.661,0.584,0.574,0.6845
128,0.007663250511970546,0.9976041666666666,1.0,0.5725,0.5685,0.5885,0.5975,0.6385,0.647
129,0.007484100766211176,0.9977291666666667,1.0,0.6245,0.5325,0.6555,0.622,0.525,0.7155
130,0.008958511709984957,0.997125,1.0,0.6595,0.508,0.645,0.602,0.5775,0.6665
131,0.004536778088759888,0.9983125,1.0,0.639,0.5075,0.6635,0.5925,0.575,0.675
132,0.008216791278024478,0.9974166666666666,1.0,0.759,0.5565,0.576,0.6065,0.506,0.6395
133,0.007910575820579349,0.9973333333333333,1.0,0.6355,0.5005,0.591,0.5735,0.651,0.696
134,0.007042426542915337,0.9978333333333333,1.0,0.706,0.5205,0.6535,0.548,0.5645,0.6905
135,0.006215891885981743,0.9975833333333334,1.0,0.7375,0.534,0.637,0.5695,0.496,0.6995
136,0.005758517077220669,0.9977291666666667,1.0,0.701,0.5995,0.622,0.6035,0.5205,0.659
137,0.007091202585567544,0.9975,1.0,0.662,0.4695,0.6285,0.5725,0.5975,0.706
138,0.007717657543219237,0.9973125,1.0,0.719,0.5365,0.6055,0.537,0.5705,0.7115
139,0.005625782009874077,0.9982916666666667,1.0,0.606,0.584,0.58,0.57,0.5425,0.711
140,0.0070212979337945566,0.9974166666666666,1.0,0.6775,0.555,0.558,0.6165,0.588,0.6615
141,0.008318350180067834,0.9972291666666667,1.0,0.6555,0.51,0.644,0.6305,0.6105,0.628
142,0.005728707958561434,0.9977916666666666,1.0,0.6245,0.5725,0.5985,0.647,0.5735,0.645
143,0.006636497183633158,0.9976458333333333,1.0,0.664,0.55,0.647,0.56,0.5955,0.7205
144,0.007400337102519567,0.9975833333333334,1.0,0.6985,0.475,0.6405,0.6055,0.5755,0.6465
145,0.005957992111361742,0.9979791666666666,1.0,0.686,0.515,0.6455,0.6055,0.549,0.6795
146,0.00583625936788413,0.9981458333333333,1.0,0.69,0.468,0.6725,0.58,0.5665,0.7285
147,0.00683893391129368,0.9980625,1.0,0.701,0.5605,0.6485,0.642,0.5055,0.6185
148,0.007121455728854774,0.9975416666666667,1.0,0.6965,0.516,0.681,0.606,0.56,0.66
149,0.005461082269080255,0.9981041666666667,1.0,0.662,0.5745,0.6455,0.61,0.559,0.621
150,0.006671171562006824,0.9977083333333333,1.0,0.656,0.536,0.673,0.579,0.581,0.6705
151,0.007686442596385822,0.9974375,1.0,0.6925,0.58,0.6395,0.5225,0.492,0.7145
152,0.005882979631263424,0.9980208333333334,1.0,0.6815,0.4985,0.624,0.5735,0.565,0.7165
153,0.006684931857362737,0.9978333333333333,1.0,0.659,0.5135,0.6345,0.6195,0.629,0.6035
154,0.005977273623764063,0.9980208333333334,1.0,0.664,0.528,0.655,0.558,0.6075,0.6635
155,0.005612149862355522,0.9979166666666667,1.0,0.7225,0.5565,0.6205,0.569,0.551,0.6935
156,0.005147106206816412,0.9982708333333333,1.0,0.639,0.513,0.669,0.614,0.607,0.6525
157,0.0055295775744073124,0.9981666666666666,1.0,0.6875,0.5095,0.668,0.5985,0.5655,0.6465
158,0.008398195543039038,0.9975416666666667,1.0,0.6895,0.568,0.6275,0.592,0.569,0.619
159,0.005999537377307471,0.9980208333333334,1.0,0.6505,0.551,0.654,0.5965,0.618,0.6555
160,0.005525136185494981,0.9980833333333333,1.0,0.699,0.563,0.65,0.6235,0.538,0.643
161,0.004379544572643407,0.9987291666666667,1.0,0.632,0.499,0.6675,0.6435,0.5575,0.6755
162,0.006292863407654522,0.998,1.0,0.6185,0.5395,0.6655,0.5565,0.65,0.603
163,0.00786884457887201,0.9975416666666667,1.0,0.697,0.482,0.6285,0.6405,0.571,0.66
164,0.005831872607602321,0.998125,1.0,0.7545,0.524,0.65,0.603,0.5445,0.652
